word,left_context,right_context,general_context
lot,"[('tad', 0.995628), ('glove', 0.995628), ('ton', 0.995628), ('bIt', 0.995628), ('squat', 0.995628), ('super', 0.995628), ('half', 0.98588771), ('cloud', 0.97534382), ('result', 0.97500622), ('chance', 0.97035182), ('try', 0.96852815), ('halfsize', 0.96539593), ('couple', 0.96340907), ('week', 0.94203103), ('bit', 0.92903417), ('month', 0.92307413), ('nurse', 0.91871572), ('blister', 0.91046846), ('gift', 0.9010697), ('woman', 0.87362564)]","[('rest', 0.94592291), ('lots', 0.94553769), ('lack', 0.94533682), ('Plenty', 0.94533682), ('terms', 0.94533682), ('tons', 0.94533682), ('care', 0.94533682), ('chances', 0.94533682), ('Shape', 0.94533682), ('Lots', 0.94533682), ('fashions', 0.94533682), ('textures', 0.94533682), ('thoughts', 0.94533682), ('outsides', 0.94533682), ('layers', 0.94533682), ('Lack', 0.94533682), ('tips', 0.94533682), ('Kind', 0.94533682), ('Couple', 0.94533682), ('lengths', 0.94533682), ('kinds', 0.94533682), ('kind', 0.9417575), ('fan', 0.93150306), ('set', 0.92994827), ('pair', 0.92748058), ('signs', 0.92486072), ('plenty', 0.92039675), ('pairs', 0.91971862), ('variety', 0.91902876), ('end', 0.9142403), ('types', 0.91193718), ('ton', 0.90620285), ('balls', 0.90447474), ('type', 0.9021666), ('versions', 0.89068592), ('matter', 0.89005768), ('periods', 0.8882423), ('edges', 0.88448536), ('alot', 0.87998039), ('middle', 0.87667054), ('outside', 0.87613499), ('tip', 0.86517811), ('look', 0.85755843), ('edge', 0.83427233), ('inside', 0.82767004), ('styling', 0.82266921), ('feel', 0.81998348)]",[]
compliments,[],"[('logos', 0.91668707), ('flips', 0.91668707), ('Miles', 0.91668707), ('spot', 0.90849489), ('surgeries', 0.84022599), ('slips', 0.8000052)]",[]
terms,"[('black', 0.92216265), ('stock', 0.92154282), ('person', 0.89729238), ('love', 0.86214417), ('addition', 0.84490019), ('mind', 0.83994496), ('case', 0.83769226), ('4e', 0.8120721)]","[('lack', 1.0), ('Plenty', 1.0), ('tons', 1.0), ('care', 1.0), ('chances', 1.0), ('Shape', 1.0), ('Lots', 1.0), ('fashions', 1.0), ('textures', 1.0), ('thoughts', 1.0), ('outsides', 1.0), ('layers', 1.0), ('Lack', 1.0), ('tips', 1.0), ('Kind', 1.0), ('Couple', 1.0), ('lengths', 1.0), ('kinds', 1.0), ('lots', 0.99996883), ('rest', 0.99960762), ('kind', 0.99499148), ('set', 0.98156911), ('fan', 0.98004442), ('signs', 0.97833991), ('pair', 0.96867788), ('plenty', 0.96717072), ('pairs', 0.96567845), ('end', 0.96494406), ('variety', 0.96451682), ('types', 0.96326673), ('type', 0.95357424), ('ton', 0.95210427), ('lot', 0.94533682), ('balls', 0.94118601), ('versions', 0.94043374), ('matter', 0.93921959), ('periods', 0.9380042), ('edges', 0.93562984), ('middle', 0.92536145), ('outside', 0.92428821), ('alot', 0.91909236), ('tip', 0.90998173), ('look', 0.88255632), ('edge', 0.87725127), ('inside', 0.87124765), ('styling', 0.85501146), ('feel', 0.83982217)]",[]
laces,"[('inside', 0.86735916), ('rest', 0.86040348), ('moment', 0.84751159), ('outside', 0.81866515)]","[('Toes', 0.8603304), ('nephews', 0.8603304), ('Lifters', 0.8603304), ('Kicks', 0.8603304), ('Ladies', 0.8603304), ('Laces', 0.8603304), ('Forms', 0.8603304), ('airs', 0.8603304), ('Foams', 0.8603304), ('Roshes', 0.85649151), ('numbers', 0.84578848), ('shoelaces', 0.83824736), ('cleats', 0.83450484), ('combinations', 0.83274728), ('Shoes', 0.82836455), ('colors', 0.80557173)]",[]
Feet,[],[],[]
leather,[],[],[]
rubber,[],[],[]
slips,[],"[('spot', 0.89210254), ('logos', 0.87271351), ('flips', 0.87271351), ('Miles', 0.87271351), ('compliments', 0.8000052)]",[]
Value,[],"[('packages', 1.0), ('Present', 1.0), ('blacks', 1.0), ('Metcons', 1.0), ('weekends', 1.0), ('doors', 1.0), ('values', 1.0), ('gift', 0.96230578), ('Gift', 0.94091094), ('replacements', 0.89469117), ('value', 0.86298752), ('present', 0.85097116), ('expectations', 0.82842028)]",[]
stock,"[('terms', 0.92154282), ('black', 0.8894369), ('person', 0.85085285), ('4e', 0.82215184), ('love', 0.80489105)]",[],[]
lots,[],"[('lack', 0.99996883), ('Plenty', 0.99996883), ('terms', 0.99996883), ('tons', 0.99996883), ('care', 0.99996883), ('chances', 0.99996883), ('Shape', 0.99996883), ('Lots', 0.99996883), ('fashions', 0.99996883), ('textures', 0.99996883), ('thoughts', 0.99996883), ('outsides', 0.99996883), ('layers', 0.99996883), ('Lack', 0.99996883), ('tips', 0.99996883), ('Kind', 0.99996883), ('Couple', 0.99996883), ('lengths', 0.99996883), ('kinds', 0.99996883), ('rest', 0.99957645), ('kind', 0.99496049), ('set', 0.98208898), ('fan', 0.98051566), ('signs', 0.97830939), ('pair', 0.96902406), ('plenty', 0.96714056), ('pairs', 0.96598381), ('end', 0.96502537), ('variety', 0.96448678), ('types', 0.96323669), ('type', 0.95366526), ('ton', 0.95244831), ('lot', 0.94553769), ('balls', 0.9416185), ('versions', 0.94040442), ('matter', 0.93919033), ('periods', 0.93838406), ('edges', 0.9356007), ('middle', 0.92533261), ('outside', 0.9245618), ('alot', 0.91906369), ('tip', 0.90995336), ('look', 0.88495392), ('edge', 0.87791264), ('inside', 0.87164795), ('styling', 0.85834116), ('feel', 0.84107804)]",[]
flexibility,[],[],[]
movements,[],"[('ways', 0.92091173)]",[]
hours,[],"[('miles', 0.82228118)]",[]
slip,[],[],[]
strap,[],[],[]
straps,[],[],[]
